YouMind案例ID,标题,公开原帖链接,最终下载报错,原视频链接
4002,UGC Coffee Brand Advertisement,https://x.com/akkiwani703/status/2050173584715461020,HTTP Error 404: Not Found,https://video.twimg.com/ext_tw_video/2050173556458430465/pu/vid/avc1/848x636/bWpBMGXwkZ-j4OKy.mp4?tag=25
3981,Cinematic Luxury Jewelry Commercial,https://x.com/siainfo9/status/2050086225239794095,HTTP Error 403: Forbidden,https://video.twimg.com/ext_tw_video/2050086161742184448/pu/vid/avc1/720x1280/IYcTvPE_zpHXw6a1.mp4?tag=25
3385,Animated Penguin Winter Slide,https://x.com/kaan_alper/status/2045861178740539875,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2045860009586688000/vid/avc1/1920x1080/oi0k-Ayo0g0pJ-Sn.mp4?tag=21
3181,Five Senses Perfume Brand Transformation,https://x.com/Cosmoslucy13/status/2043260367753912734,HTTP Error 404: Not Found,https://video.twimg.com/amplify_video/2043259604726079488/vid/avc1/1440x2560/CXrVyNpPrViPQT8c.mp4?tag=21
2998,Girl and Cat Transformation Video Prompt (Seedance 2.0),https://x.com/Cosmoslucy13/status/2041908111381082463,HTTP Error 404: Not Found,https://video.twimg.com/amplify_video/2041906786408787968/vid/avc1/1668x2224/Clgn2KIjdNHBtjEr.mp4?tag=21
2994,Cinematic Bathroom Scene: Woman Reclining in Bathtub (Part 1),https://x.com/mmendie__/status/2041948351558537608,HTTP Error 404: Not Found,https://video.twimg.com/amplify_video/2041948031449190400/vid/avc1/724x720/T7PjMWSDTMDUzNV1.mp4?tag=21
2931,Horror Animation Scene Breakdown,https://x.com/TomaAIbijo/status/2041409867345526922,HTTP Error 404: Not Found,https://video.twimg.com/amplify_video/2041403542695763969/vid/avc1/1080x1920/qfsoyp6onWT_Fi4U.mp4?tag=21
2725,Realistic to Anime Transition,https://x.com/OtakuMachine/status/2040903748885618717,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2040903672193040384/vid/avc1/1254x720/jcnnWJDBijtxJFEh.mp4?tag=21
2334,Spanish dialogue prompt for video generation,https://x.com/xtheprototype/status/2037919374485463291,HTTP Error 404: Not Found,https://video.twimg.com/tweet_video/HEgi5GvWgAE4f9f.mp4
2326,AI Wedding Video Prompt: Minimalist Forest Style with Light Effects,https://x.com/Cosmoslucy13/status/2038159292566798539,HTTP Error 404: Not Found,https://video.twimg.com/amplify_video/2038159167396139009/vid/avc1/1280x720/5yLsJVMm82MvYZqo.mp4?tag=21
2310,Artist Studio Cinematic Video,https://x.com/kaan_alper/status/2038178205211783344,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2038177078022205441/vid/avc1/1920x1080/bfZixU7ftajLemN_.mp4?tag=21
2221,Seedance 2.0 AI Wedding Video Prompt: Cinematic Night Scene,https://x.com/Cosmoslucy13/status/2037912095325646998,HTTP Error 404: Not Found,https://video.twimg.com/amplify_video/2037911791314026496/vid/avc1/1280x720/M7UqooPGCHPxYY1l.mp4?tag=21
2205,Photorealistic Cyberpunk Motorcycle-Robot Chase in Heavy Rain,https://x.com/Riya333S/status/2037722910702657973,HTTP Error 403: Forbidden,https://video.twimg.com/ext_tw_video/2037722831388397570/pu/vid/avc1/1280x720/g2oVuy6UbH__DG21.mp4?tag=19
2194,Desert Scavenger Watches Buried City Emerge,https://x.com/Riya333S/status/2037842898012529085,HTTP Error 403: Forbidden,https://video.twimg.com/ext_tw_video/2037842854668828672/pu/vid/avc1/1280x720/DGSN6dU8l6SU_QOg.mp4?tag=19
1811,"Wartime Disaster Movie Scene, One-Shot",https://x.com/kaan_alper/status/2035304828360884535,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2035304029668937728/vid/avc1/2560x1440/hzV1cf9o4p62hBpl.mp4?tag=21
1710,Cinematic Hyper-Realism: Silver BMW i8,https://x.com/jigschat/status/2034532826146644013,HTTP Error 404: Not Found,https://video.twimg.com/amplify_video/2034389940122050560/vid/avc1/958x720/c8lD96Za1sf9NY6i.mp4?tag=14
1636,Woman applying makeup invaded by mud-like liquid,https://x.com/Riya333S/status/2034405862236942528,HTTP Error 403: Forbidden,https://video.twimg.com/ext_tw_video/2034405596058030080/pu/vid/avc1/1280x720/weXff3QmzIeq-HqF.mp4?tag=19
1544,Saitama vs. Garou Battle Scene,https://x.com/Riya333S/status/2033891641245999492,HTTP Error 403: Forbidden,https://video.twimg.com/ext_tw_video/2033891593477099522/pu/vid/avc1/1280x720/AIJLL4r3OlzimRn0.mp4?tag=19
1468,Stop-Motion Clay Animation Story,https://x.com/Riya333S/status/2033529926092263917,HTTP Error 403: Forbidden,https://video.twimg.com/ext_tw_video/2033529905594634240/pu/vid/avc1/1280x720/yFA9VBy-_Rp55oUM.mp4?tag=19
1405,ultra-fast sakuga cuts with chibi style,https://x.com/nomastudioai/status/2033291090032234691,HTTP Error 403: Forbidden,https://video.twimg.com/ext_tw_video/2033291067886362626/pu/vid/avc1/1280x720/Xs-8JE_P_oW9a3s9.mp4?tag=12
1395,Goku vs. Naruto 2D Battle,https://x.com/Riya333S/status/2033320025172652218,HTTP Error 403: Forbidden,https://video.twimg.com/ext_tw_video/2033319963663175680/pu/vid/avc1/1280x720/TdwtKxgKA8UkE_t0.mp4?tag=19
1391,BMX Rider in a Favela,https://x.com/Riya333S/status/2033168318769582423,HTTP Error 403: Forbidden,https://video.twimg.com/ext_tw_video/2033168286826070016/pu/vid/avc1/1280x720/lDRj8oCLFusMe9fV.mp4?tag=19
1143,High-Speed Magical Forest Journey,https://x.com/Riya333S/status/2032442823853982060,HTTP Error 403: Forbidden,https://video.twimg.com/ext_tw_video/2032442714294489088/pu/vid/avc1/1280x720/kOUbNFpwO9_VPgQO.mp4?tag=19
1140,Cinematic O'Neill Space Colony Film Still,https://x.com/Riya333S/status/2032600577801334906,HTTP Error 403: Forbidden,https://video.twimg.com/ext_tw_video/2032600460746698753/pu/vid/avc1/1280x720/bwAlpVfP75wzqNM9.mp4?tag=19
633,Bruce Lee vs. Jackie Chan Looping Action,https://x.com/NEUR0N0/status/2026550169731579935,HTTP Error 403: Forbidden,https://video.twimg.com/ext_tw_video/2026550131471036420/pu/vid/avc1/1280x720/j89WBXyulajF3ENR.mp4?tag=12
584,Transformers/Mission Impossible Hybrid Jet Transformation,https://x.com/ChessQuantique/status/2025738652047872349,HTTP Error 403: Forbidden,https://video.twimg.com/ext_tw_video/2025738201852190720/pu/vid/avc1/1920x1080/83GsNH3zlBWlkjvN.mp4?tag=19
575,Earth's Eye Cinematic,https://x.com/liyue_ai/status/2025458606863474698,HTTP Error 404: Not Found,https://video.twimg.com/amplify_video/2025458537779093504/vid/avc1/720x1280/CBkWoPZb1JKfv-2j.mp4?tag=21
569,UGC video of a girl demonstrating stockings in a dressing room,https://x.com/underwoodxie96/status/2025364146334957724,HTTP Error 404: Not Found,https://video.twimg.com/ext_tw_video/2025363630422970368/pu/vid/avc1/720x1280/J-aF2a-5B3tDC0kt.mp4?tag=19
546,Girl's Transformation into Hanfu with Silver-Blue Theme,https://x.com/underwoodxie96/status/2025085690154000794,HTTP Error 404: Not Found,https://video.twimg.com/ext_tw_video/2025085648022200320/pu/vid/avc1/720x960/rtSpVwleBpEr8PtM.mp4?tag=19
532,Sports Car Transformer Sequence,https://x.com/underwoodxie96/status/2024882892414104024,HTTP Error 404: Not Found,https://video.twimg.com/ext_tw_video/2024882856544337921/pu/vid/avc1/1280x720/hX2lyBakA8ZmZyJ7.mp4?tag=19
511,Killer Robot Driving Instructor Scene,https://x.com/SyntheticBeef/status/2024311425645318454,HTTP Error 404: Not Found,https://video.twimg.com/amplify_video/2024311240127029248/vid/avc1/1924x1076/RlH1_ktOqWgascap.mp4?tag=21
476,Trump vs Kim Jong Un Boxing Match,https://x.com/Taaruk_/status/2023960431417868631,HTTP Error 404: Not Found,https://video.twimg.com/ext_tw_video/2023960379915980800/pu/vid/avc1/1238x720/5Sm8BMajt3Us9oDG.mp4?tag=19
445,Multi-Shot Emotional Sequence,https://x.com/ChillaiKalan__/status/2023595570649330041,HTTP Error 404: Not Found,https://video.twimg.com/ext_tw_video/2023595534033055744/pu/vid/avc1/1280x548/COw-mRSndMpFCw4f.mp4?tag=19
378,Epic Moments of the Best Football Player,https://x.com/arielipillo/status/2022490891131539764,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2022490831605698560/vid/avc1/576x490/Y3hveS1lg4kc2X35.mp4?tag=21
377,Spider-Man Pregnancy in MCU,https://x.com/PeptoState/status/2022788625704820876,HTTP Error 404: Not Found,https://video.twimg.com/amplify_video/2022788493492310016/vid/avc1/1280x720/o1EpITuIU7jSs0WJ.mp4?tag=14
309,Doraemon and Spiderman Fighting,https://x.com/otung_emmanuel/status/2021724349619700055,HTTP Error 404: Not Found,https://video.twimg.com/amplify_video/2021724278916624385/vid/avc1/1280x720/1vgO6RKSrkI_OzMj.mp4?tag=21
199,One Piece Inspired Video Prompt: Loki Saves Hostages,https://x.com/cheryblackcloud/status/2021632514427859109,HTTP Error 404: Not Found,https://video.twimg.com/amplify_video/2021631662975856642/vid/avc1/1470x630/VlDmWsLuRbXQtK2j.mp4?tag=21
141,Classic Animation Adventure Scene,https://x.com/FragZero/status/2021568010452869227,HTTP Error 404: Not Found,https://video.twimg.com/amplify_video/2021567837353992192/vid/avc1/1280x720/47UNhbiEdLqOnkCn.mp4?tag=14
134,Cyberpunk Tokyo Kung Fu Chase,https://x.com/cheryblackcloud/status/2021458861908164800,HTTP Error 404: Not Found,https://video.twimg.com/amplify_video/2021457104389963776/vid/avc1/720x1280/IEX_vUJeWMRehtyu.mp4?tag=21
90,Godzilla Attacking Jakarta,https://x.com/neveryourbaee/status/2021561566559420478,HTTP Error 403: Forbidden,https://video.twimg.com/amplify_video/2021560796581601280/vid/avc1/1280x720/oExmZrAOFb9zcTJb.mp4?tag=21
